713.2	678.2	638.0	590.5	554.0	513.9	454.5	408.4	363.4	332.6	310.1	290.2	272.8	249.6	237.1	228.3
715.8	666.3	620.1	595.6	545.5	510.7	455.6	409.6	366.1	330.8	310.7	291.6	270.2	199.8	148.2	177.3
712.3	672.8	637.1	477.3	541.5	501.3	447.2	396.7	364.2	330.5	304.7	287.9	270.4	240.0	235.7	226.3
717.1	673.3	639.4	584.5	564.9	517.3	467.0	429.4	388.7	357.6	332.2	312.7	153.9	205.4	245.5	246.4
730.4	713.4	668.8	669.3	658.3	646.5	636.4	612.1	597.7	555.9	561.7	556.3	543.4	529.1	525.4	519.2
751.9	724.3	691.7	689.0	675.1	672.0	663.7	641.6	635.6	625.6	613.6	604.5	600.4	599.9	593.0	588.6
751.9	730.2	680.2	690.2	673.1	671.6	664.5	641.7	635.1	625.5	612.5	604.1	600.7	599.8	592.3	587.9
751.8	730.0	679.6	689.6	680.2	669.4	663.7	641.3	544.1	624.5	612.0	604.0	600.4	596.9	591.6	587.7
751.7	728.5	675.7	689.1	680.3	669.8	662.5	641.3	632.5	623.2	611.1	603.8	599.3	595.2	589.2	584.4
751.4	726.6	681.1	685.6	676.5	667.8	659.8	640.6	630.0	621.8	608.1	602.2	596.6	590.0	585.7	584.7
751.2	748.2	748.3	745.2	741.2	738.9	736.1	731.9	729.3	723.1	726.8	720.7	718.7	721.1	715.5	719.5
746.6	747.5	744.4	743.8	741.1	738.1	736.7	735.5	731.3	730.8	721.9	727.3	721.5	721.1	718.7	719.5
748.0	742.9	739.5	733.7	730.8	724.6	721.1	719.5	711.6	709.1	702.7	703.5	699.5	691.8	690.6	689.6
743.8	733.7	722.0	712.7	709.1	698.6	697.5	689.6	682.3	676.0	659.9	652.6	654.5	643.5	640.5	642.0
733.7	719.5	703.5	689.6	668.4	661.3	643.5	631.1	635.0	581.8	614.9	575.1	601.0	558.9	565.2	547.6
716.1	696.0	661.3	631.1	618.2	588.7	589.9	547.6	547.9	511.6	520.3	475.5	493.3	442.4	471.0	443.3
