	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	
32m	400.0	384.1	362.8	340.8	338.9	324.7	310.4	299.9	282.6	242.3	262.9	229.8	240.8	219.4	203.0	192.8	
16m	398.8	384.1	365.0	347.8	335.4	307.3	272.6	300.2	288.2	278.8	263.9	208.0	242.6	221.1	191.5	193.2	
8m	400.8	370.5	347.9	346.0	338.4	321.1	308.9	297.1	287.8	280.3	267.5	253.7	245.2	223.4	207.3	195.0	
4m	402.3	387.5	361.6	350.0	340.1	321.4	319.8	299.9	269.8	250.4	251.5	198.4	223.2	216.8	135.5	130.3	
2m	404.5	407.1	385.7	371.4	369.8	361.1	357.2	249.9	329.5	336.3	330.8	324.1	323.5	320.8	317.0	299.2	
1024k	410.1	404.9	392.1	371.6	375.3	364.2	358.1	341.2	348.2	341.2	334.3	329.3	328.2	327.4	324.1	321.2	
512k	405.8	409.5	392.1	371.4	375.4	364.1	360.2	351.6	348.5	341.1	333.8	329.0	328.0	327.1	323.8	320.8	
256k	403.6	409.4	391.6	371.5	375.2	363.9	359.7	351.6	348.4	340.9	333.9	328.9	327.9	326.0	323.2	321.3	
128k	409.9	409.1	390.4	371.0	375.4	363.4	358.9	351.0	348.1	340.6	333.7	328.2	327.7	326.5	322.7	320.2	
64k	409.8	408.5	388.5	370.5	374.2	362.5	358.6	349.0	346.0	339.0	331.7	326.5	324.3	324.2	321.3	319.3	
32k	409.6	408.8	407.5	405.8	403.4	400.8	399.3	399.3	396.0	395.1	392.7	391.6	389.5	389.4	386.9	388.4	
16k	408.9	407.2	405.9	404.2	402.5	401.5	399.5	398.8	395.7	395.1	393.8	391.6	389.9	389.4	387.4	387.9	
8k	407.4	404.5	401.1	398.2	395.1	391.6	389.4	387.9	383.7	380.6	378.4	375.8	372.5	370.0	367.7	366.9	
4k	404.5	398.2	392.4	387.9	380.6	375.8	370.0	366.9	361.6	354.1	349.1	344.4	344.5	337.1	330.9	332.5	
2k	398.2	386.9	375.8	366.9	354.1	344.4	334.4	332.5	330.2	309.1	314.6	297.9	300.5	287.0	286.7	277.9	
1k	387.9	366.9	344.4	332.5	319.1	301.6	294.9	277.9	273.9	255.8	255.2	233.3	241.4	216.7	219.8	206.9	
